ingredient,item,area,iso3c,mean_value,cf,X7
canola/camelina oil,Rapeseed,United Kingdom of Great Britain and Northern Ireland,GBR,2049600,0.41,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,Russian Federation,RUS,1514474.8,0.37,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,United States of America,USA,112226398,0.19,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Brazil,BRA,108164227,0.18,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Argentina,ARG,53653851.6,0.17,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,"China, mainland",CHN,14784698.8,0.15,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,India,IND,11817644,0.18,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Paraguay,PRY,9612730.6,0.19,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Canada,CAN,6866200,0.17,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Ukraine,UKR,4053288,0.17,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Russian Federation,RUS,3571876.2,0.17,http://countrystat.org/resources/documents/tcf.pdf
soy oil,Soybeans,Bolivia (Plurinational State of),BOL,2982790.4,0.2,http://countrystat.org/resources/documents/tcf.pdf
soy protein concentrate,Soybeans,United States of America,USA,112226398,0.33,https://ussec.org/resources/conversion-table/
soy protein concentrate,Soybeans,Brazil,BRA,108164227,0.32,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Argentina,ARG,53653851.6,0.34,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,"China, mainland",CHN,14784698.8,0.34,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,India,IND,11817644,0.34,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Paraguay,PRY,9612730.6,0.33,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Canada,CAN,6866200,0.32,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Ukraine,UKR,4053288,0.32,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Russian Federation,RUS,3571876.2,0.32,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soy protein concentrate,Soybeans,Bolivia (Plurinational State of),BOL,2982790.4,0.33,used the ratio of SPC to SBM at ussec.org and multiplied by the SBM values for each country
soybean meal,Soybeans,United States of America,USA,112226398,0.8,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Brazil,BRA,108164227,0.77,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Argentina,ARG,53653851.6,0.8,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,"China, mainland",CHN,14784698.8,0.82,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,India,IND,11817644,0.8,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Paraguay,PRY,9612730.6,0.79,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Canada,CAN,6866200,0.76,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Ukraine,UKR,4053288,0.76,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Russian Federation,RUS,3571876.2,0.76,http://countrystat.org/resources/documents/tcf.pdf
soybean meal,Soybeans,Bolivia (Plurinational State of),BOL,2982790.4,0.78,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,Ukraine,UKR,13292564,0.45,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,Russian Federation,RUS,11782275,0.48,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,Argentina,ARG,3413731.8,0.42,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,"China, mainland",CHN,2674342.6,0.5,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,Romania,ROU,2672538.8,0.48,Used median of other values as item missing from Romania in FAO 1972
sunflower meal,Sunflower seed,Bulgaria,BGR,1902216.4,0.48,Used median of other values as item missing from Romania in FAO 1972
sunflower meal,Sunflower seed,Turkey,TUR,1873006,0.45,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,Hungary,HUN,1798370,0.47,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,France,FRA,1299103.2,0.55,http://countrystat.org/resources/documents/tcf.pdf
sunflower meal,Sunflower seed,United States of America,USA,1068318,0.5,http://countrystat.org/resources/documents/tcf.pdf
wheat,Wheat,"China, mainland",CHN,133239683.3,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:45"
wheat,Wheat,India,IND,98064328.33,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:46"
wheat,Wheat,Russian Federation,RUS,75603197.83,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:47"
wheat,Wheat,United States of America,USA,53271327.83,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:48"
wheat,Wheat,France,FRA,36152910.67,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:49"
wheat,Wheat,Canada,CAN,31728205.83,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:50"
wheat,Wheat,Ukraine,UKR,26129230,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:51"
wheat,Wheat,Pakistan,PAK,25344258,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:52"
wheat,Wheat,Germany,DEU,23498850,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:53"
wheat,Wheat,Australia,AUS,21809121.67,1,"10% of the world wheat grain production was used for feed in 2009 and wheat ranks third among cereals used for animal feeding - Heuzé V., Tran G., 2015. Wheat (general). Feedipedia, a programme by INRAE, CIRAD, AFZ and FAO. https://www.feedipedia.org/node/6435 Last updated on June 11, 2015, 16:54"
wheat gluten,Wheat,"China, mainland",CHN,133239683.3,0.08,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,India,IND,98064328.33,0.1,Used median of other values as item missing from India in FAO 1972
wheat gluten,Wheat,Russian Federation,RUS,75603197.83,0.1,Used median of other values as item missing from Russia in FAO 1973
wheat gluten,Wheat,United States of America,USA,53271327.83,0.1,Used median of other values as item missing from France in FAO 1974
wheat gluten,Wheat,France,FRA,36152910.67,0.1,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,Canada,CAN,31728205.83,0.08,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,Ukraine,UKR,26129230,0.08,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,Pakistan,PAK,25344258,0.1,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,Germany,DEU,23498850,0.43,http://countrystat.org/resources/documents/tcf.pdf
wheat gluten,Wheat,Australia,AUS,21809121.67,0.15,http://countrystat.org/resources/documents/tcf.pdf
