3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
JNX,12105013XX,Pilchards nei,Pilchards nca,Sardinas nep,NA,NA,NA,Sardinops spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MHS,1210502401,Brazilian menhaden,Menhaden du Brésil,Savela,NA,NA,NA,Brevoortia aurea,(Spix & Agassiz 1829),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MHP,1210502402,Argentine menhaden,Menhaden d'Argentine,Lacha,NA,NA,NA,Brevoortia pectinata,(Jenyns 1842),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MHA,1210502403,Atlantic menhaden,Menhaden tyran,Lacha tirana,NA,NA,NA,Brevoortia tyrannus,(Latrobe 1802),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MHG,1210502404,Gulf menhaden,Menhaden écailleux,Lacha escamuda,NA,NA,NA,Brevoortia patronus,Goode 1878,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MHT,1210502405,Yellowfin menhaden,Menhaden jaune,Lacha amarilla,مَنهادن صفراء,黄鳍游鲱,NA,Brevoortia smithi,Hildebrand 1941,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MVX,12105024XX,Menhadens nei,Menhadens nca,Lachas nep,NA,NA,NA,Brevoortia spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RAS,1210502901,Rainbow sardine,Sardine arc-en-ciel,Sardina arco iris,NA,NA,NA,Dussumieria acuta,Valenciennes 1847,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RAL,1210502902,Slender rainbow sardine,Sardine arc-en-ciel gracile,Sardina arco iris grácil,سردين قوس قزح  رقيق,细圆腹鲱,NA,Dussumieria elopsoides,Bleeker 1849,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RWA,12105029XX,Rainbow sardines nei,Sardines arc-en-ciel nca,Sardinas arco iris nep,NA,NA,NA,Dussumieria spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
